CVE_ENT,NOM_ENT,CVE_MUN,NOM_MUN,LAT_DEC,LON_DEC
1,Aguascalientes,1,Aguascalientes,21.879823,-102.296047
1,Aguascalientes,2,Asientos,22.238317,-102.089275
1,Aguascalientes,3,Calvillo,21.846907,-102.718751
1,Aguascalientes,4,Cosío,22.366409,-102.300044
1,Aguascalientes,5,Jesús María,21.961273,-102.343416
1,Aguascalientes,6,Pabellón de Arteaga,22.149202,-102.276542
1,Aguascalientes,7,Rincón de Romos,22.229233,-102.323069
1,Aguascalientes,8,San José de Gracia,22.150216,-102.415634
1,Aguascalientes,9,Tepezalá,22.224228,-102.166971
1,Aguascalientes,10,El Llano,21.918869,-101.965307
1,Aguascalientes,11,San Francisco de los Romo,22.072393,-102.272678
2,Baja California,1,Ensenada,31.808944,-116.595134
2,Baja California,2,Mexicali,32.641176,-115.475579
2,Baja California,3,Tecate,32.572679,-116.62655
2,Baja California,4,Tijuana,32.532461,-117.018913
2,Baja California,5,Playas de Rosarito,32.363684,-117.054459
3,Baja California Sur,1,Comondú,25.034434,-111.673218
3,Baja California Sur,2,Mulegé,27.336868,-112.268275
3,Baja California Sur,3,La Paz,24.142222,-110.310833
3,Baja California Sur,8,Los Cabos,23.061591,-109.694749
3,Baja California Sur,9,Loreto,26.012778,-111.343333
4,Campeche,1,Calkiní,20.371226,-90.050739
4,Campeche,2,Campeche,19.844814,-90.539649
4,Campeche,3,Carmen,18.637789,-91.83645
4,Campeche,4,Champotón,19.356219,-90.723891
4,Campeche,5,Hecelchakán,20.176966,-90.134517
4,Campeche,6,Hopelchén,19.745548,-89.845044
4,Campeche,7,Palizada,18.253598,-92.090902
4,Campeche,8,Tenabo,20.039677,-90.225763
4,Campeche,9,Escárcega,18.604315,-90.732001
4,Campeche,10,Calakmul,18.505371,-89.397276
4,Campeche,11,Candelaria,18.183451,-91.046294
5,Coahuila de Zaragoza,1,Abasolo,27.181944,-101.426389
5,Coahuila de Zaragoza,2,Acuña,29.330006,-100.978258
5,Coahuila de Zaragoza,3,Allende,28.347222,-100.854167
5,Coahuila de Zaragoza,4,Arteaga,25.450621,-100.849623
5,Coahuila de Zaragoza,5,Candela,26.840278,-100.663889
5,Coahuila de Zaragoza,6,Castaños,26.785278,-101.430556
5,Coahuila de Zaragoza,7,Cuatro Ciénegas,26.985833,-102.066667
5,Coahuila de Zaragoza,8,Escobedo,27.234722,-101.4125
5,Coahuila de Zaragoza,9,Francisco I. Madero,25.775,-103.273056
5,Coahuila de Zaragoza,10,Frontera,26.926111,-101.449444
5,Coahuila de Zaragoza,11,General Cepeda,25.379908,-101.479292
5,Coahuila de Zaragoza,12,Guerrero,28.308418,-100.378726
5,Coahuila de Zaragoza,13,Hidalgo,27.791681,-99.876055
5,Coahuila de Zaragoza,14,Jiménez,29.070308,-100.674228
5,Coahuila de Zaragoza,15,Juárez,27.606506,-100.72712
5,Coahuila de Zaragoza,16,Lamadrid,27.048494,-101.793599
5,Coahuila de Zaragoza,17,Matamoros,25.528136,-103.230384
5,Coahuila de Zaragoza,18,Monclova,26.901242,-101.417224
5,Coahuila de Zaragoza,19,Morelos,28.410104,-100.886631
5,Coahuila de Zaragoza,20,Múzquiz,27.87755,-101.516518
5,Coahuila de Zaragoza,21,Nadadores,27.029031,-101.592023
5,Coahuila de Zaragoza,22,Nava,28.421875,-100.767554
5,Coahuila de Zaragoza,23,Ocampo,27.311215,-102.397405
5,Coahuila de Zaragoza,24,Parras,25.437381,-102.184169
5,Coahuila de Zaragoza,25,Piedras Negras,28.708093,-100.528441
5,Coahuila de Zaragoza,26,Progreso,27.428978,-100.987233
5,Coahuila de Zaragoza,27,Ramos Arizpe,25.543234,-100.950782
5,Coahuila de Zaragoza,28,Sabinas,27.848888,-101.119989
5,Coahuila de Zaragoza,29,Sacramento,27.004439,-101.725036
